Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
EDUC ,700,4.26,12/2/2014,4020415.258,4.26,4.26,7723,buy,Dilbert
EE   ,135,38.023333,12/2/2014,39908894.7,37.96,38.15,412308,buy,Dilbert
EEFT ,43403,58.259544,12/2/2014,51562788.39,57.36,58.83,279294,buy,Dilbert
EELV ,304800,26.2099,12/2/2014,8430688.404,26.185,26.2,105616,buy,Dilbert
EEM  ,1969105,40.889478,12/2/2014,874040341.1,40.75,40.945,47273320,buy,Dilbert
EEP  ,2835,37.7381,12/2/2014,247169059.1,36.88,38.03,1594083,buy,Dilbert
EEQ  ,23202,35.834493,12/2/2014,67115919.78,35.36,35.77,316747,buy,Dilbert
EFA  ,208036,64.042477,12/2/2014,848753452.1,63.95,64.11,19349300,buy,Dilbert
EFII ,1378,44.275671,12/2/2014,46443392.5,44.09,44.52,239766,buy,Dilbert
EFSC ,800,18.8975,12/2/2014,20258751.16,19.38,19.38,31947,buy,Dilbert
EFV  ,560,53.86,12/2/2014,48274192.35,53.92,53.92,481707,buy,Dilbert
EFX  ,233206,79.718513,12/2/2014,119597502.1,78.26,80.35,418188,buy,Dilbert
EGAN ,600,5.0175,12/2/2014,26715463.03,5.02,5.02,40214,buy,Dilbert
EGBN ,2000,34.481667,12/2/2014,29601079.32,34.1,34.7,104733,buy,Dilbert
EGHT ,6650,7.6775,12/2/2014,90190290.25,7.6701,7.68,445181,buy,Dilbert
EGI  ,500,0.205,12/2/2014,143399024.4,0.205,0.205,224355,buy,Dilbert
EGL  ,32184,41.993815,12/2/2014,17583173.08,41.4,42.63,136434,buy,Dilbert
EGLE ,700,13.726667,12/2/2014,38719866.04,13.7,13.83,33657,buy,Dilbert
EGN  ,25891,59.37372,12/2/2014,73394356.35,58.33,61.265,1288857,buy,Dilbert
EGO  ,34371,6.744638,12/2/2014,731832318,6.61,6.95,11990557,buy,Dilbert
EGOV ,19187,17.846197,12/2/2014,65166529.73,17.68,17.93,234437,buy,Dilbert
EGP  ,18399,66.234074,12/2/2014,31697001.14,65.48,66.24,145897,buy,Dilbert
EGXKP,1500,25.8,12/2/2014,99,99,99,400,buy,Dilbert
EGY  ,37495,5.914585,12/2/2014,58004528.48,5.76,6.11,1762369,buy,Dilbert
EHI  ,118,11.5975,12/2/2014,31247139.05,11.58,11.61,146058,buy,Dilbert
EHIC ,35800,11.839912,12/2/2014,99,11.81,11.96,256532,buy,Dilbert
EHTH ,15018,26.272963,12/2/2014,17464722.27,26,26.53,142245,buy,Dilbert
EIDO ,96952,27.7374,12/2/2014,22844672.45,27.55,27.7,706817,buy,Dilbert
EIG  ,7456,20.663908,12/2/2014,30949753.74,20.39,20.69,87623,buy,Dilbert
EIGI ,400,16.405,12/2/2014,132585854.3,16.345,16.405,528650,buy,Dilbert
EIX  ,74710,64.01417,12/2/2014,323706358,62.93,64.46,1789268,buy,Dilbert
EJ   ,26580,8.769333,12/2/2014,99,8.6,8.99,1058415,buy,Dilbert
EJPRY,24837,12.616046,12/2/2014,2360671720,99,99,5838488,buy,Dilbert
EKTAY,8805,10.15012,12/2/2014,386752590.3,99,99,4885119,buy,Dilbert
EL   ,80615,73.936743,12/2/2014,230808191.3,73.65,74.28,1471385,buy,Dilbert
ELGX ,134323,12.989446,12/2/2014,65157077.35,12.14,13.1,652310,buy,Dilbert
